nprobe,Precision@K,MRR,AvgQueryTime_ms,QueriesUsed
1,0.6385000000000001,0.7451200396825396,0.037983059883117676,400
2,0.65,0.7578759920634921,0.038362741470336914,400
5,0.6565000000000001,0.7669603174603173,0.050196051597595215,400
10,0.6579999999999999,0.7664494047619047,0.07072269916534424,400
20,0.6582499999999999,0.7651994047619047,0.11019587516784668,400
